        [,1]                 
   [1,] "sub-NDARINV00CY2MDM"
   [2,] "sub-NDARINV00HEV6HB"
   [3,] "sub-NDARINV01NAYMZH"
   [4,] "sub-NDARINV01RGTWD2"
   [5,] "sub-NDARINV021403LF"
   [6,] "sub-NDARINV02EBX0JJ"
   [7,] "sub-NDARINV03CV8RDT"
   [8,] "sub-NDARINV03XVEBPM"
   [9,] "sub-NDARINV04EUBGTM"
  [10,] "sub-NDARINV04JY6730"
  [11,] "sub-NDARINV05CA3VX5"
  [12,] "sub-NDARINV06DP74KL"
  [13,] "sub-NDARINV07RPB2TU"
  [14,] "sub-NDARINV0889M0JE"
  [15,] "sub-NDARINV08R2PTT1"
  [16,] "sub-NDARINV0APJMRD1"
  [17,] "sub-NDARINV0B7UGM1D"
  [18,] "sub-NDARINV0BXXNBH4"
  [19,] "sub-NDARINV0C471G23"
  [20,] "sub-NDARINV0CF1U8X8"
  [21,] "sub-NDARINV0CP9XGTP"
  [22,] "sub-NDARINV0DBRJXKG"
  [23,] "sub-NDARINV0DJJP33V"
  [24,] "sub-NDARINV0EV57VEX"
  [25,] "sub-NDARINV0EXY6KFW"
  [26,] "sub-NDARINV0F959U85"
  [27,] "sub-NDARINV0G42TBW1"
  [28,] "sub-NDARINV0GPKYMDC"
  [29,] "sub-NDARINV0GVW93X6"
  [30,] "sub-NDARINV0GZM9UZJ"
  [31,] "sub-NDARINV0H05G0TR"
  [32,] "sub-NDARINV0HVEVD01"
  [33,] "sub-NDARINV0HXXANFJ"
  [34,] "sub-NDARINV0JRU5DWA"
  [35,] "sub-NDARINV0KPZW3NB"
  [36,] "sub-NDARINV0MPBK7TU"
  [37,] "sub-NDARINV0NR55WME"
  [38,] "sub-NDARINV0P2ZCYPM"
  [39,] "sub-NDARINV0PDYPPJ7"
  [40,] "sub-NDARINV0PKCP1P3"
  [41,] "sub-NDARINV0T41MTFH"
  [42,] "sub-NDARINV0T7889MV"
  [43,] "sub-NDARINV0U23M45G"
  [44,] "sub-NDARINV0UERLJJY"
  [45,] "sub-NDARINV0XU7Z6RH"
  [46,] "sub-NDARINV0YLLNXRL"
  [47,] "sub-NDARINV102P9DCN"
  [48,] "sub-NDARINV10HWA6YU"
  [49,] "sub-NDARINV114VT9DX"
  [50,] "sub-NDARINV137Y0WR8"
  [51,] "sub-NDARINV13NMXD4V"
  [52,] "sub-NDARINV14PHMUNU"
  [53,] "sub-NDARINV1535421B"
  [54,] "sub-NDARINV15VX8FJL"
  [55,] "sub-NDARINV16C687G5"
  [56,] "sub-NDARINV18RUWAJN"
  [57,] "sub-NDARINV19FYU534"
  [58,] "sub-NDARINV19GP5HLJ"
  [59,] "sub-NDARINV1AA2VG9C"
  [60,] "sub-NDARINV1AFNKM8M"
  [61,] "sub-NDARINV1B7G7LND"
  [62,] "sub-NDARINV1BGRYN2J"
